yr	not_working	n	hypertensive	unknown_disease	diabetes	ecd	female	rec_hcv_antibody	over70	male	scd	total
2006	119	198	46	58	7	32	74	9	5	124	166	198
2007	121	197	55	49	16	35	73	11	21	124	162	197
2008	109	184	58	50	10	40	66	12	9	118	144	184
2009	117	180	44	59	8	31	77	10	14	103	149	180
2010	116	204	48	68	12	35	77	13	13	127	169	204
2011	122	208	44	77	12	23	77	4	13	131	185	208
2012	139	197	55	77	10	21	79	13	10	118	176	197
2013	132	210	44	72	9	19	79	16	14	131	191	210
2014	142	214	49	74	8	29	88	14	15	126	185	214
2015	135	208	49	69	5	18	85	18	7	123	190	208
